AGE,BIRTHS
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,1.0
11.0,1.1422911921503636
12.0,2.306825533062568
13.0,10.337615352350452
14.0,58.21326792243662
15.0,310.0
16.0,1167.0
17.0,3168.0
18.0,6146.0
19.0,10380.0
20.0,13749.0
21.0,16963.0
22.0,20070.0
23.0,23191.0
24.0,27093.0
25.0,31643.0
26.0,36175.0
27.0,40928.0
28.0,44745.0
29.0,47434.0
30.0,49289.0
31.0,50835.0
32.0,49006.0
33.0,45925.0
34.0,42189.0
35.0,38220.0
36.0,33501.0
37.0,27701.0
38.0,22207.0
39.0,16926.0
40.0,11731.0
41.0,7852.0
42.0,5064.0
43.0,2937.0
44.0,1739.0
45.0,995.0
46.0,584.0
47.0,327.0
48.0,231.0
49.0,151.0
50.0,99.04289526118775
51.0,64.7376821071184
52.0,41.901921665193015
53.0,26.581364454092366
54.0,16.224968072693457
55.0,9.173228708477499
56.0,4.337939731237441
57.0,1.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
